"city_name","latitude","longitude"
"Alaminos",16.156111,119.98111
"Angeles City",15.15,120.583328
"Antipolo",15.6181,121.190002
"Bacolod",12.22854,123.508507
"Bacoor",14.45903,120.929031
"Bago City",10.53333,122.833328
"Baguio",16.416389,120.593063
"Bais",9.59111,123.12278
"Balanga",14.67611,120.53611
"Batac City",18.055401,120.564888
"Batangas City",13.75,121.050003
"Bayawan",9.36361,122.801109
"Baybay",13.4083,123.713501
"Bayugan",8.75611,125.767502
"Bislig",11.0725,125.033607
"Biñan",14.34267,121.080711
"Bogo",11.0517,124.005501
"Borongan",11.60806,125.431938
"Butuan",8.94917,125.54361
"Cabadbaran",9.12361,125.534439
"Cabanatuan City",15.48333,120.966667
"Cabuyao",14.2726,121.126198
"Cadiz",10.95056,123.285561
"Cagayan de Oro",8.48222,124.647217
"Calaca",13.93244,120.813271
"Calamba",14.21167,121.165283
"Calapan",13.4117,121.180298
"Calbayog City",12.06667,124.599998
"Caloocan City",14.65,120.966667
"Candon",17.194719,120.451668
"Canlaon",10.38639,123.196388
"Carcar",10.1061,123.640198
"Carmona",14.3132,121.057602
"Catbalogan",11.77528,124.886108
"Cauayan",16.934719,121.772499
"Cavite City",14.4825,120.916939
"Cebu City",10.31672,123.890709
"City of Marikina",14.63333,121.099998
"City of Masbate",12.33333,123.583328
"City of Passi",11.15,122.650002
"City of Sorsogon",12.98333,123.98333
"Cotabato",7.22361,124.246391
"Dagupan",17.7061,121.5047
"Danao",10.52083,124.027222
"Dapitan",10.27056,123.946938
"Dasmariñas",14.32944,120.936668
"Davao",7.07306,125.612778
"Digos",6.74972,125.357224
"Dipolog",8.58944,123.341393
"Dumaguete",9.31028,123.30806
"El Salvador",8.56306,124.522499
"Escalante",10.84028,123.499168
"Gapan",15.3072,120.946404
"General Santos",6.11278,125.171669
"General Trias",14.38694,120.881668
"Gingoog City",8.83333,125.116669
"Himamaylan",10.09889,122.87056
"Ilagan",17.14854,121.889236
"Iligan City",8.25,124.400002
"Iloilo City",10.75,122.550003
"Imus",14.42972,120.936668
"Iriga City",13.41667,123.416672
"Isabela",10.2048,122.9888
"Kabankalan",9.98889,122.812218
"Kidapawan",7.00833,125.089439
"Koronadal",6.50306,124.846939
"La Carlota",10.42333,122.92083
"Lamitan",6.08722,125.702217
"Laoag",18.198891,120.593613
"Lapu-Lapu City",10.31028,123.94944
"Las Piñas",14.45056,120.98278
"Legazpi City",13.13333,123.73333
"Ligao",13.24028,123.532501
"Lipa City",13.93944,121.173889
"Lipa City",13.95,121.166672
"Lucena",13.93139,121.617218
"Lucena",10.8794,122.596703
"Maasin",10.13361,124.844719
"Maasin",10.8925,122.434723
"Mabalacat City",15.21667,120.550003
"Mabalacat City",15.2216,120.573601
"Makati City",14.55027,121.032692
"Malabon",14.67333,120.93972
"Malaybalay",8.15,125.083328
"Malolos",14.84194,120.811668
"Mandaluyong City",14.5832,121.040901
"Mandaue City",10.32361,123.922218
"Manila",14.6042,120.982201
"Marawi",7.99861,124.292778
"Mati",6.95508,126.216553
"Meycauayan",14.73694,120.960831
"Muñoz",15.71611,120.903061
"Naga",7.77028,122.750832
"Navotas",14.4167,121.226799
"Olongapo",14.82917,120.282784
"Ormoc",11.00639,124.607498
"Oroquieta",8.48583,123.804443
"Ozamiz City",8.14583,123.844437
"Pagadian",7.8257,123.436996
"Palayan City",15.54139,121.086113
"Panabo",7.30806,125.684174
"Paranaque City",14.48156,121.017487
"Pasig",14.58699,121.064957
"Puerto Princesa City",9.73333,118.73333
"Quezon City",14.63333,121.033333
"Roxas",10.33333,119.349998
"Sagay",9.1059,124.724297
"Samal",14.76667,120.48333
"San Carlos",7.95972,125.077499
"San Fernando",10.2,123.666672
"San Jose",7.73667,125.070282
"San Jose del Monte",14.81389,121.04528
"San Juan",13.75,121.366669
"San Pablo",7.65639,123.460831
"San Pedro",7.34194,126.517502
"Santa Rosa",13.55,122.366669
"Santo Tomas",16.33333,120.333328
"Silay City",10.8,122.966667
"Sipalay",9.75194,122.404167
"Surigao City",9.75,125.5
"Tabaco",13.35861,123.733612
"Tabuk",17.4189,121.444298
"Tacloban City",11.25,125.0
"Tacurong",6.6925,124.676392
"Tagaytay City",14.10594,120.933723
"Taguig",14.5243,121.079201
"Talisay",14.06667,121.0
"Tanauan",11.11667,125.0
"Tandag",9.07833,126.198608
"Tangub",8.06,123.75
"Tanjay",9.51528,123.158333
"Tarlac City",15.48889,120.59861
"Tayabas",14.02889,121.59111
"Toledo City",10.38333,123.633331
"Tuguegarao",17.61306,121.726936
"Urdaneta",15.97611,120.571114
"Valencia",9.2815,123.245499
"Valenzuela",14.5701,121.025398
"Victorias",10.9,123.077782
"Vigan",17.57472,120.38694
"Zamboanga City",6.91348,122.069611
