Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1950,-1.50,-1.30,-1.20,-1.20,-1.10,-0.90,-0.50,-0.40,-0.40,-0.40,-0.60,-0.80
1951,-0.80,-0.50,-0.20,0.20,0.40,0.60,0.70,0.90,1.00,1.20,1.00,0.80
1952,0.50,0.40,0.30,0.30,0.20,0.00,-0.10,0.00,0.20,0.10,0.00,0.10
1953,0.40,0.60,0.60,0.70,0.80,0.80,0.70,0.70,0.80,0.80,0.80,0.80
1954,0.80,0.50,0.00,-0.40,-0.50,-0.50,-0.60,-0.80,-0.90,-0.80,-0.70,-0.70
1955,-0.70,-0.60,-0.70,-0.80,-0.80,-0.70,-0.70,-0.70,-1.10,-1.40,-1.70,-1.50
1956,-1.10,-0.80,-0.60,-0.50,-0.50,-0.50,-0.60,-0.60,-0.50,-0.40,-0.40,-0.40
1957,-0.20,0.10,0.40,0.70,0.90,1.10,1.30,1.30,1.30,1.40,1.50,1.70
1958,1.80,1.70,1.30,0.90,0.70,0.60,0.60,0.40,0.40,0.40,0.50,0.60
1959,0.60,0.60,0.50,0.30,0.20,-0.10,-0.20,-0.30,-0.10,0.00,0.00,0.00
1960,-0.10,-0.10,-0.10,0.00,0.00,0.00,0.10,0.20,0.30,0.20,0.10,0.10
1961,0.00,0.00,0.00,0.10,0.20,0.30,0.10,-0.10,-0.30,-0.30,-0.20,-0.20
1962,-0.20,-0.20,-0.20,-0.30,-0.30,-0.20,0.00,-0.10,-0.10,-0.20,-0.30,-0.40
1963,-0.40,-0.20,0.20,0.30,0.30,0.50,0.90,1.10,1.20,1.30,1.40,1.30
1964,1.10,0.60,0.10,-0.30,-0.60,-0.60,-0.60,-0.70,-0.80,-0.80,-0.80,-0.80
1965,-0.60,-0.30,-0.10,0.20,0.50,0.80,1.20,1.50,1.90,2.00,2.00,1.70
1966,1.40,1.20,1.00,0.70,0.40,0.20,0.20,0.10,-0.10,-0.10,-0.20,-0.30
1967,-0.40,-0.50,-0.50,-0.40,-0.20,0.00,0.00,-0.20,-0.30,-0.40,-0.30,-0.40
1968,-0.60,-0.70,-0.60,-0.40,0.00,0.30,0.60,0.50,0.40,0.50,0.70,1.00
1969,1.10,1.10,0.90,0.80,0.60,0.40,0.40,0.50,0.80,0.90,0.80,0.60
1970,0.50,0.30,0.30,0.20,0.00,-0.30,-0.60,-0.80,-0.80,-0.70,-0.90,-1.10
1971,-1.40,-1.40,-1.10,-0.80,-0.70,-0.70,-0.80,-0.80,-0.80,-0.90,-1.00,-0.90
1972,-0.70,-0.40,0.10,0.40,0.70,0.90,1.10,1.40,1.60,1.80,2.10,2.10
1973,1.80,1.20,0.50,-0.10,-0.50,-0.90,-1.10,-1.30,-1.50,-1.70,-1.90,-2.00
1974,-1.80,-1.60,-1.20,-1.00,-0.90,-0.80,-0.50,-0.40,-0.40,-0.60,-0.80,-0.60
1975,-0.50,-0.60,-0.70,-0.70,-0.80,-1.00,-1.10,-1.20,-1.40,-1.40,-1.60,-1.70
1976,-1.60,-1.20,-0.70,-0.50,-0.30,0.00,0.20,0.40,0.60,0.80,0.90,0.80
1977,0.70,0.60,0.30,0.20,0.20,0.30,0.40,0.40,0.60,0.70,0.80,0.80
1978,0.70,0.40,0.10,-0.20,-0.30,-0.30,-0.40,-0.40,-0.40,-0.30,-0.10,0.00
1979,0.00,0.10,0.20,0.30,0.20,0.00,0.00,0.20,0.30,0.50,0.50,0.60
1980,0.60,0.50,0.30,0.40,0.50,0.50,0.30,0.00,-0.10,0.00,0.10,0.00
1981,-0.30,-0.50,-0.50,-0.40,-0.30,-0.30,-0.30,-0.20,-0.20,-0.10,-0.20,-0.10
1982,0.00,0.10,0.20,0.50,0.70,0.70,0.80,1.10,1.60,2.00,2.20,2.20
1983,2.20,1.90,1.50,1.30,1.10,0.70,0.30,-0.10,-0.50,-0.80,-1.00,-0.90
1984,-0.60,-0.40,-0.30,-0.40,-0.50,-0.40,-0.30,-0.20,-0.20,-0.60,-0.90,-1.10
1985,-1.00,-0.80,-0.80,-0.80,-0.80,-0.60,-0.50,-0.50,-0.40,-0.30,-0.30,-0.40
1986,-0.50,-0.50,-0.30,-0.20,-0.10,0.00,0.20,0.40,0.70,0.90,1.10,1.20
1987,1.20,1.20,1.10,0.90,1.00,1.20,1.50,1.70,1.60,1.50,1.30,1.10
1988,0.80,0.50,0.10,-0.30,-0.90,-1.30,-1.30,-1.10,-1.20,-1.50,-1.80,-1.80
1989,-1.70,-1.40,-1.10,-0.80,-0.60,-0.40,-0.30,-0.30,-0.20,-0.20,-0.20,-0.10
1990,0.10,0.20,0.30,0.30,0.30,0.30,0.30,0.40,0.40,0.30,0.40,0.40
1991,0.40,0.30,0.20,0.30,0.50,0.60,0.70,0.60,0.60,0.80,1.20,1.50
1992,1.70,1.60,1.50,1.30,1.10,0.70,0.40,0.10,-0.10,-0.20,-0.30,-0.10
1993,0.10,0.30,0.50,0.70,0.70,0.60,0.30,0.30,0.20,0.10,0.00,0.10
1994,0.10,0.10,0.20,0.30,0.40,0.40,0.40,0.40,0.60,0.70,1.00,1.10
1995,1.00,0.70,0.50,0.30,0.10,0.00,-0.20,-0.50,-0.80,-1.00,-1.00,-1.00
1996,-0.90,-0.80,-0.60,-0.40,-0.30,-0.30,-0.30,-0.30,-0.40,-0.40,-0.40,-0.50
1997,-0.50,-0.40,-0.10,0.30,0.80,1.20,1.60,1.90,2.10,2.30,2.40,2.40
1998,2.20,1.90,1.40,1.00,0.50,-0.10,-0.80,-1.10,-1.30,-1.40,-1.50,-1.60
1999,-1.50,-1.30,-1.10,-1.00,-1.00,-1.00,-1.10,-1.10,-1.20,-1.30,-1.50,-1.70
2000,-1.70,-1.40,-1.10,-0.80,-0.70,-0.60,-0.60,-0.50,-0.50,-0.60,-0.70,-0.70
2001,-0.70,-0.50,-0.40,-0.30,-0.30,-0.10,-0.10,-0.10,-0.20,-0.30,-0.30,-0.30
2002,-0.10,0.00,0.10,0.20,0.40,0.70,0.80,0.90,1.00,1.20,1.30,1.10
2003,0.90,0.60,0.40,0.00,-0.30,-0.20,0.10,0.20,0.30,0.30,0.40,0.40
2004,0.40,0.30,0.20,0.20,0.20,0.30,0.50,0.60,0.70,0.70,0.70,0.70
2005,0.60,0.60,0.40,0.40,0.30,0.10,-0.10,-0.10,-0.10,-0.30,-0.60,-0.80
2006,-0.90,-0.80,-0.60,-0.40,-0.10,0.00,0.10,0.30,0.50,0.80,0.90,0.90
2007,0.70,0.20,-0.10,-0.30,-0.40,-0.50,-0.60,-0.80,-1.10,-1.30,-1.50,-1.60
2008,-1.60,-1.50,-1.30,-1.00,-0.80,-0.60,-0.40,-0.20,-0.20,-0.40,-0.60,-0.70
2009,-0.80,-0.80,-0.60,-0.30,0.00,0.30,0.50,0.60,0.70,1.00,1.40,1.60
2010,1.50,1.20,0.80,0.40,-0.20,-0.70,-1.00,-1.30,-1.60,-1.60,-1.60,-1.60
2011,-1.40,-1.20,-0.90,-0.70,-0.60,-0.40,-0.50,-0.60,-0.80,-1.00,-1.10,-1.00
2012,-0.90,-0.70,-0.60,-0.50,-0.30,0.00,0.20,0.40,0.40,0.30,0.10,-0.20
2013,-0.40,-0.40,-0.30,-0.30,-0.40,-0.40,-0.40,-0.30,-0.30,-0.20,-0.20,-0.30
2014,-0.40,-0.50,-0.30,0.00,0.20,0.20,0.00,0.10,0.20,0.50,0.60,0.70
2015,0.50,0.50,0.50,0.70,0.90,1.20,1.50,1.90,2.20,2.40,2.60,2.60
2016,2.50,2.10,1.60,0.90,0.40,-0.10,-0.40,-0.50,-0.60,-0.70,-0.70,-0.60
2017,-0.30,-0.20,0.10,0.20,0.30,0.30,0.10,-0.10,-0.40,-0.70,-0.80,-1.00
2018,-0.90,-0.90,-0.70,-0.50,-0.20,0.00,0.10,0.20,0.50,0.80,0.90,0.80
2019,0.70,0.70,0.70,0.70,0.50,0.50,0.30,0.10,0.20,0.30,0.50,0.50
2020,0.50,0.50,0.40,0.20,-0.10,-0.30,-0.40,-0.60,-0.90,-1.20,-1.30,-1.20
2021,-1.00,-0.90,-0.80,-0.70,-0.50,-0.40,-0.40,-0.50,-0.70,-0.80,-1.00,-1.00
2022,-1.00,-0.90,-1.00,-1.10,-1.00,-0.90,-0.80,-0.90,-1.00,-1.00,-0.90,-0.80
2023,-0.70,-0.40,-0.10,0.20,0.50,0.80,1.10,1.30,1.60,1.80,1.90,2.00
2024,1.80,1.50,1.10,0.70,0.40,0.20,0.00,-0.10,-0.20,-0.30,-0.40,-0.50
2025,-0.60,-0.40,-0.20,-0.10,-0.10,-0.10,-0.20,-0.30,-0.40,-0.60,-0.60,-0.60
